question_id,question_text,short_question,short_question_len,response_scale
1,"Do you support New York City establishing a Basic Income, Guaranteed Minimum Income, or some other form of direct cash relief for people who live in New York?",NYC establishing basic income for residents,43,
2,"Would you favor or oppose the federal government providing a guaranteed income, sometimes called a “Universal Basic Income,” of about $1,000 a month for all adult citizens, whether or not they work?",Federal UBI of $1k/month,24,
3,"Thinking about the financial impact of a crisis like the Coronavirus
pandemic, to what extent, if at all, would you support or oppose the
government introducing the following permanent measures: Universal Basic Income – where the government makes sure everyone has an income, without a means test or requirement to work",UBI [framed by COVID-19 Pandemic],33,
4,Some contend that Congress' coronavirus relief package paves the way for a universal basic income for all Americans. Do you favor or oppose having the federal government provide every single American with a basic income?,UBI [framed by comparing Congress' COVID relief efforts as path to UBI],71,
5,One proposal to help Americans whose jobs are threatened by automation is having a universal basic income program that pays all Americans $1000 per month. Which comes closest to your belief?,$1k/mo UBI [framed by job loss due to automation],49,
6,"Do you think each of the following is a good idea or a bad idea: A Universal Basic Income of $1,000 per month for each American 18 or older?",$1k/mo UBI for Americans ages 18 & up,37,
7,"A proposal has recently been made for a Universal Basic Income, a government payment of $1,000 per month to every American adult. This payment would be made regardless of one’s work status or any other factor. Do you favor or oppose this proposal?","$1k/mo UBI for American adults, regardless of work status",57,
8,Do you support or not support a universal basic income program as a way to help people in the UK who lose their jobs because of advances in artificial intelligence?,UBI [framed by job loss due to automation],42,
9,"In recent years, a range of people and organisations in the UK and elsewhere have called for a “Universal Basic Income” to be considered as an alternative to the current way in which cash entitlements such as tax credits, Jobseeker's Allowance and child benefit are paid. At its most simple, a “Universal Basic Income” would replace cash entitlements and benefits. Instead it would provide everyone in society with a minimum level of cash to meet basic needs. Every citizen would receive it and then pay tax as they earn. Which of the following statements best fits your view?",UBI [framed as alt. to cash entitlements i.e. tax credits],58,
10,"Assuming the level would be set roughly at the amount the UK government judged to be necessary to cover basic needs, e.g. food and clothing (but not housing costs), to what extent would you support or oppose the UK Government introducing a basic income…",UBI for basic needs,19,
11,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,42,
12,Another proposal has been made for the federal government to provide every single American with a basic income grant. The idea would be to provide enough money for everyone to enjoy a modest living regardless of whether or not they choose to work. Do you favor or oppose having the federal government provide every single American with a basic income grant?,UBI [framed as modest living regardless of employment],54,
13,Would you support or oppose implementing a program of this type in Canada at a level of $10K?,Federal UBI of $10k/year,24,Separate out into 3 questions
14,"Do you agree or disagree that each citizen, including those in work, should receive a guaranteed income from the state without work requirement?",UBI for citizens [framed as guaranteed income w/o work requirement],67,
15,"Some countries are currently talking about introducing a basic income scheme. In a moment I will ask you to tell me whether you are against or in favour of this scheme. First, I will give you some more details. The highlighted box at the top of this card shows the main features of the scheme. A basic income scheme includes all of the following: ...READ OUT...- The government pays everyone a monthly income to cover essential living costs. - It replaces Maley other social benefits. - The purpose is to guarantee everyone a minimum standard of living. - Everyone receives the same amount regardless of whether or not they are working. - People also keep the money they earn from work or other sources. - This scheme is paid for by taxes. INTERVIEWER: PAUSE TO GIVE THE RESPONDENT TIME TO READ CARD. Overall, would you be against or in favour of having this scheme in [country]?",UBI [framed as essential living costs w/o work requirement],59,
16,"1 The Federation will see to the introduction of an unconditional basic income.

2 The basic income shall enable the people to live a dignified life and to participate in public life.

3 A law will regulate the financing and the amount of the basic income.",Swiss referendum on UBI of unspecified amount,45,
17,"Universal Basic Income is a programme whereby a Government guarantees every adult citizen a certain amount of money each year. This guaranteed income would be given to all adult citizens without exception, regardless of their employment status or their wealth. To what extent, if at all, would you support or oppose the implementation of Universal Basic Income in the UK?",UBI (UK) [framed as guaranteed income w/o work requirement],59,
18,"If a major party/political candidate were to adopt Universal Basic Income as part of its platform, would you be more or less likely to vote for them?",Support for UBI candidate,25,
19,Do you support or not support a universal basic income program as a way to help people in the U.S. who lose their jobs because of advances in artificial intelligence?,UBI [framed by job loss due to AI],34,
20,Do you support or not support a universal basic income program as a way to help people in Canada who lose their jobs because of advances in artificial intelligence?,UBI [framed by job loss due to AI],34,
21,Would you be willing to pay higher taxes to fund a universal basic income program? (Among those who support universal basic income programs),Higher taxes among UBI supporters,33,
22,% who say it is ___ important for the national government to provide a universal basic income for all people.,UBI for all is important,24,
23,% who say it is very important for the national government to provide a universal basic income for all people.,UBI for all is very important,29,
24,Would you support or oppose implementing a program of this type in Canada at a level of $20K?,Federal UBI of $20k/year,24,
25,Would you support or oppose implementing a program of this type in Canada at a level of $30K?,Federal UBI of $30k/year,24,
26,"A guaranteed income is a policy that would provide monthly payments of around $500-$1,000 to individuals, regardless of their employment status and with no strings attached. Would you support or oppose implemeneting a guaranteed income in the U.S.?","Monthly UBI of $500-1k, regardless of employment",48,
