poll_id,question_id,response,xtab1_var,xtab1_val,xtab2_var,xtab2_val,pct,notes_x,total_percentage,percent_norm,favorability,response_order,response_shortened,pct_fav,date,pollster,sample_size,margin_of_error,demographic,method of contact,country,crosstabs_entered,crosstabs_not_entered,is_complete,"If incomplete, emailed?",Link,notes_y,question_text,short_question,benefit_eligibility,short_question_len,response_scale,val_order,question_text_wrap,pollster_wrap
1,12,Support,-,-,-,-,11.0,,93.0,0.11827956989247312,1,1,Support,11.0,2011-08-30,Rasmussen Reports,1000.0,±3%,Likely voters,Unknown,USA,-,a few,False,,https://www.rasmussenreports.com/public_content/politics/general_politics/august_2011/11_think_government_should_provide_basic_income_grant_for_all,,Another proposal has been made for the federal government to provide every single American with a basic income grant. The idea would be to provide enough money for everyone to enjoy a modest living regardless of whether or not they choose to work. Do you favor or oppose having the federal government provide every single American with a basic income grant?,UBI [framed as modest living regardless of employment],,54,,0,Another proposal has been made<br>for the federal government to<br>provide every single American<br>with a basic income grant. The<br>idea would be to provide<br>enough money for everyone to<br>enjoy a modest living<br>regardless of whether or not<br>they choose to work. Do you<br>favor or oppose having the<br>federal government provide<br>every single American with a<br>basic income grant?,Rasmussen Reports
1,12,Oppose,-,-,-,-,82.0,,93.0,0.8817204301075269,-1,-1,Oppose,-82.0,2011-08-30,Rasmussen Reports,1000.0,±3%,Likely voters,Unknown,USA,-,a few,False,,https://www.rasmussenreports.com/public_content/politics/general_politics/august_2011/11_think_government_should_provide_basic_income_grant_for_all,,Another proposal has been made for the federal government to provide every single American with a basic income grant. The idea would be to provide enough money for everyone to enjoy a modest living regardless of whether or not they choose to work. Do you favor or oppose having the federal government provide every single American with a basic income grant?,UBI [framed as modest living regardless of employment],,54,,0,Another proposal has been made<br>for the federal government to<br>provide every single American<br>with a basic income grant. The<br>idea would be to provide<br>enough money for everyone to<br>enjoy a modest living<br>regardless of whether or not<br>they choose to work. Do you<br>favor or oppose having the<br>federal government provide<br>every single American with a<br>basic income grant?,Rasmussen Reports
2,11,Would vote for,-,-,-,-,64.0,,100.0,0.64,1,1,Would vote for,64.0,2016-04-30,Dalia Research,11021.0,±1.1%,Individuals age 14-65,"Mobile phones, tablets, and computers",EU28,-,,False,Y,https://basicincome.org/wp-content/uploads/2017/05/DR-2017-survey.pdf,Only month specified,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,,42,,0,"If there would be a referendum<br>on introducing basic income<br>today, how would you vote?",Dalia Research
2,11,Would vote against,-,-,-,-,24.0,,100.0,0.24,-1,-1,Would vote against,-24.0,2016-04-30,Dalia Research,11021.0,±1.1%,Individuals age 14-65,"Mobile phones, tablets, and computers",EU28,-,,False,Y,https://basicincome.org/wp-content/uploads/2017/05/DR-2017-survey.pdf,Only month specified,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,,42,,0,"If there would be a referendum<br>on introducing basic income<br>today, how would you vote?",Dalia Research
2,11,Would not vote,-,-,-,-,12.0,,100.0,0.12,-1,0,Would not vote,-12.0,2016-04-30,Dalia Research,11021.0,±1.1%,Individuals age 14-65,"Mobile phones, tablets, and computers",EU28,-,,False,Y,https://basicincome.org/wp-content/uploads/2017/05/DR-2017-survey.pdf,Only month specified,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,,42,,0,"If there would be a referendum<br>on introducing basic income<br>today, how would you vote?",Dalia Research
6,11,Would vote for,-,-,-,-,68.0,,101.0,0.6732673267326733,1,1,Would vote for,68.0,2017-03-31,Dalia Research,11021.0,,14-65,"Mobile phones, tablets, and computers",EU28,-,,False,Y,https://basicincome.org/wp-content/uploads/2017/05/DR-2017-survey.pdf,Only month specified,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,,42,,0,"If there would be a referendum<br>on introducing basic income<br>today, how would you vote?",Dalia Research
6,11,Would vote against,-,-,-,-,24.0,,101.0,0.2376237623762376,-1,-1,Would vote against,-24.0,2017-03-31,Dalia Research,11021.0,,14-65,"Mobile phones, tablets, and computers",EU28,-,,False,Y,https://basicincome.org/wp-content/uploads/2017/05/DR-2017-survey.pdf,Only month specified,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,,42,,0,"If there would be a referendum<br>on introducing basic income<br>today, how would you vote?",Dalia Research
6,11,Would not vote,-,-,-,-,9.0,,101.0,0.0891089108910891,-1,0,Would not vote,-9.0,2017-03-31,Dalia Research,11021.0,,14-65,"Mobile phones, tablets, and computers",EU28,-,,False,Y,https://basicincome.org/wp-content/uploads/2017/05/DR-2017-survey.pdf,Only month specified,"If there would be a referendum on introducing basic income today, how would you vote?",Support for hypothetical referendum on UBI,,42,,0,"If there would be a referendum<br>on introducing basic income<br>today, how would you vote?",Dalia Research
3,16,No,-,-,-,-,76.9,,100.0,0.769,-1,-1,No,-76.9,2016-06-05,Swiss Referendum ,2494848.0,,Registered voters,Govt referendum,Switzerland,-,,False,,"https://www.loc.gov/law/foreign-news/article/switzerland-voters-reject-unconditional-basic-income/#:~:text=(June%206%2C%202016)%20On,Income.%E2%80%9D%20(Vorlage%20Nr.",,"1 The Federation will see to the introduction of an unconditional basic income.

2 The basic income shall enable the people to live a dignified life and to participate in public life.

3 A law will regulate the financing and the amount of the basic income.",Offical results of Swiss referendum on UBI of unspecified amount,,64,,0,1 The Federation will see to<br>the introduction of an<br>unconditional basic income.  2<br>The basic income shall enable<br>the people to live a dignified<br>life and to participate in<br>public life.  3 A law will<br>regulate the financing and the<br>amount of the basic income.,Swiss Referendum
3,16,Yes,-,-,-,-,23.1,,100.0,0.231,1,1,Yes,23.1,2016-06-05,Swiss Referendum ,2494848.0,,Registered voters,Govt referendum,Switzerland,-,,False,,"https://www.loc.gov/law/foreign-news/article/switzerland-voters-reject-unconditional-basic-income/#:~:text=(June%206%2C%202016)%20On,Income.%E2%80%9D%20(Vorlage%20Nr.",,"1 The Federation will see to the introduction of an unconditional basic income.

2 The basic income shall enable the people to live a dignified life and to participate in public life.

3 A law will regulate the financing and the amount of the basic income.",Offical results of Swiss referendum on UBI of unspecified amount,,64,,0,1 The Federation will see to<br>the introduction of an<br>unconditional basic income.  2<br>The basic income shall enable<br>the people to live a dignified<br>life and to participate in<br>public life.  3 A law will<br>regulate the financing and the<br>amount of the basic income.,Swiss Referendum
